id,position,name,score,ratings,category,price_range,lat,lng,address,city,state,zip_code
34786,97,Sushi Haya,4.7,20,"Japanese, Sushi, Asian",,29.56611,-98.48622,226 West Bitters Road, San Antonio, TX,78216
34787,94,Hula Poke,4.8,155,Comfort Food,,29.5622333,-98.5928368,12730 W I-10, San Antonio, TX,78249
34790,61,San Poke,4.9,200,"Japanese, Hawaiian, Seafood",$,29.6356007,-98.4541804,20770 281 N Ste 105, San Antonio, TX,78259
34791,43,Suck It: The Restaurant,4.8,164,Sushi,$$,29.5007441,-98.5765564,7220 Louis Pasteur Dr, San Antonio, TX,78229
34792,39,Tenko Ramen,4.6,119,"Noodles, Asian Fusion, Japanese, Ramen",$,29.4418552,-98.4804875,312 Pearl Pkwy, San Antonio, TX,78215
34793,28,Pei Wei (11911 Crosswinds Way),,,"Asian, Chinese, Noodles, Rice Dishes",$,29.54784,-98.37637,11911 Crosswinds Way, San Antonio, TX,78233
34794,22,Wok This Way (San Antonio),4.6,45,"Chinese, Thai, Vietnamese",,29.51709,-98.41865,2411 NE Loop 410 Ste 102, San Antonio, TX,78217
34795,20,Sushi Zushi - Lincoln Heights,4.7,159,"Japanese, Sushi, Family Friendly",$,29.4974786,-98.4696318,999 E Basse Rd, San Antonio, TX,78209
34796,18,Pinch Boil House (Broadway),4.8,163,"Asian Fusion, Asian, Korean",$,29.47347,-98.46249,5130 Broadway, San Antonio, TX,78209
34797,6,Singhs,4.8,200,"Vietnamese, Sandwich, Family Meals",$,29.4514437,-98.486208,2803 N St Mary's St, San Antonio, TX,78212
34798,5,Wow Bao (SAT01-2),4.3,136,"Chinese, Asian, Chicken",$,29.54784,-98.37637,11911 Crosswinds Way, San Antonio, TX,78233
34800,297,Sabor A La Mexicana Mexican Restaurant and Cantina,,,"Mexican, Latin American, New Mexican",$,29.356412,-98.485542,920 SE Military Dr, San Antonio, TX,78214
34801,295,Chela's tacos,,,Mexican,$,29.4562427,-98.4795491,3420 N St Mary's St, San Antonio, TX,78212
34802,294,Reggie's Tex-Mex Cafe #1,,,"Mexican, Breakfast and Brunch, Burgers",,29.358099,-98.435196,2543 Goliad Rd, San Antonio, TX,78223
34804,292,Mi Tierra,4.5,20,"American, Comfort Food",,29.4250355,-98.5000875,218 Produce Row, San Antonio, TX,78207
34805,291,Taquero Vaquero,4.7,13,"Mexican, Latin American, New Mexican",,29.44186,-98.51055,427 Lombrano Street, San Antonio, TX,78207
34806,290,Grand Fortuna Chinese Restaurant,4.1,12,"Asian, Asian Fusion, Chinese",,29.4689,-98.53015,2618 Fredericksburg Rd, San Antonio, TX,78201
34807,289,Mama's Gumbo,4.6,65,"Cajun / Creole, Wings, Seafood",,29.50888,-98.41053,2367 Austin Highway, San Antonio, TX,78218
34808,286,Fina's Kitchen,4.3,15,"Mexican, Latin American, New Mexican",,29.46618,-98.50864,914 W Hildebrand Ave, San Antonio, TX,78201
34809,285,tequla mexican restaurant,4.6,16,"Mexican, Latin American, New Mexican",,29.356381,-98.482507,1059 Southeast Military Drive, San Antonio, TX,78214
34810,284,KUNG FU RICE (427 Lombrano Street),4.2,53,"Asian, Asian Fusion, Comfort Food",$,29.44191,-98.51055,427 Lombrano Street, San Antonio, TX,78207
